Date,News,Polarity,Sentiment,neg,neu,pos,compound,Cum
07 03 2014,"Govt to decide days for opening CNG stations in Punjab soon: Jam Kamal - ISLAMABAD: Minister of State for Petroleum and Natural Resources, Jam Kamal said that government would decide days for o",1,1,0.0,0.923,0.077,0.3612,1
08 03 2014,IST introduces latest composite material technology - ISLAMABAD: The Institute of Space Technology (IST) has introduced the latest and cost effective technology in composite,1,1,0.0,0.876,0.124,0.4767,1
08 03 2014,"China Feb commodity imports rise despite weak underlying demand - SHANGHAI: China's imports of major commodities posted strong double-digit gains in February from a year earlier, off",1,1,0.0,0.689,0.311,0.8164,1
11 03 2014,China central bank ready to cut bank reserves if growth falters: sources - BEIJING: China's central bank is prepared to take its strongest action since 2012 to loosen monetary policy if econo,1,1,0.055,0.684,0.261,0.7783,1
11 03 2014,Japan offers Tunisia 335mn euros in loans - TUNIS: Japan plans to provide Tunisia with two loans worth 335 million euros ($465 million) to support the country's,1,1,0.0,0.839,0.161,0.5574,1
11 03 2014,"Sindh AG briefs Governor on Thar relief operations - KARACHI: Accountant General of Sindh, Shaikh Muhammad Ashraf called on Sindh Governor Dr.Ishrat-ul-Ebad Khan on Tuesday",1,1,0.0,0.881,0.119,0.4767,1
11 03 2014,"LSE gains 51.21 points - LAHORE: Lahore Stock Exchange here Tuesday witnessed bullish trend by gaining 51.21 points, as the LSE Index-25 opened w",1,1,0.0,0.794,0.206,0.6369,1
11 03 2014,China firm in landmark bond default to sell assets - SHANGHAI: The first company in China to default on a corporate bond said Tuesday it would sell assets in a bid to meet i,1,1,0.0,0.852,0.148,0.4019,1
13 03 2014,PML-N leadership committed to resolve national issues: Tanveer - ISLAMABAD: Federal Minister for Defence Production Rana Tanveer Hussain has said the leadership of Pakistan Muslim Leagu,1,1,0.0,0.783,0.217,0.6249,1
13 03 2014,"CM's committee considers proposals to celebrate Pakistan Day - LAHORE: Chief Minister, Punjab Muhammad Shahbaz Sharif has constituted a high level committee headed by Provincial Labou",1,1,0.0,0.861,0.139,0.5719,1
13 03 2014,"New Zealand break ranks to hike interest rates - WELLINGTON: New Zealand on Thursday became first advanced economy to raise interest rates since 2012, ending a three-yea",1,1,0.0,0.733,0.267,0.7906,1
13 03 2014,South Korea keeps interest rate unchanged for March - SEOUL: South Korea's central bank kept its key interest rate unchanged at 2.5 percent for the 10th consecutive month,1,1,0.0,0.806,0.194,0.7184,1
20 03 2014,"CM stresses transparency in relief activities in drought hit areas - MITHI: Chief Minister Sindh, Syed Qaim Ali Shah said that the relief aid and wheat should be distributed transparently a",1,1,0.085,0.739,0.176,0.4939,1
20 03 2014,CJ to hear appointment issue of CEC on March 24 - ISLAMAABD: The Supreme Court on Thursday referred the matter of appointment of Chief Election Commissioner to Chief Just,1,1,0.0,0.847,0.153,0.5719,1
20 03 2014,"ANP wishes success of dialogue process with Taliban: Mian Iftikhar - PESHAWAR: Mian Iftikhar Hussain, a leader of Awami National Party (ANP) Thursday prayed for success of dialogue process",1,1,0.0,0.663,0.337,0.8934,1
20 03 2014,"New Zealand economy grows 0.9 percent in Q4 - WELLINGTON: New Zealand's economy expanded 0.9 percent in the fourth quarter of 2013, taking annual growth to 2.7 pe",1,1,0.0,0.909,0.091,0.3818,1
31 03 2014,Cyprus economy to recover 'in short period': Eurogroup head - NICOSIA: Eurogroup chief Jeroen Dijsselbloem said Monday he was confident that Cyprus's bailed out economy will reco,1,1,0.0,0.887,0.113,0.4939,1
31 03 2014,"German retail sales rise in February - FRANKFURT: German retail sales, a closely watched measure of household confidence, increased in February, official data",1,1,0.0,0.779,0.221,0.6597,1
07 04 2014,Bosnia's economy set to grow 2.4pc in 2014 - SARAJEVO: Bosnia's economy is likely to grow 2.4 percent this year on stronger exports and industrial output after e,1,1,0.0,0.906,0.094,0.3818,1
07 04 2014,"South Korea, Australia to sign free trade deal Tuesday - SEOUL: South Korea and Australia will sign a free trade deal this week, South Korean President Park Geun-Hye said Monday",1,1,0.0,0.798,0.202,0.765,1
08 04 2014,"Brazil economic growth slow in 2014: IMF - RIO DE JANEIRO: Brazilian growth will continue at a slow pace in 2014 despite it playing host to the World Cup, mainly b",1,1,0.05,0.786,0.164,0.5586,1
